codigo,descripcion,CodigoBarras
5614,7 COLORES GRAN RESERVA CABERNET SAUVIGNON / MUSCAT 750 ML.,7804651561988
5615,7 COLORES GRAN RESERVA CARMENERE 750 ML.,7804651564118
5616,7 COLORES GRAN RESERVA PINOR NOIR / SEMILLON 750 ML.,7804651562091
5617,MEDITERRANEO GRENACHE 750ML,7804449008367
5618,EL PADRE CABERNET FRANC 750ML,7804449008176
5619,PIONERO RESERVA CABERNET SAUVIGNON 750ML,7804449104014
5700,TAITTINGER CHAMPAGNE BRUT RESERVE 750 ML.,3016570001030
5701,TAITTINGER CHAMPAGNE PRESTIGE ROSE 750 ML.,3016570006844
5702,TAITTINGER CHAMPAGNE NOCTURNE 750 ML.,3016570000668
5800,CHÂTEAU PARADIS CASSEUIL BORDEAUX ROTHSCHILD LAFITE 750 ML.,3296365019109
5900,EL GRINGO DARK RED TEMPRANILLO 750 ML.,8436539765516
5901,RADIO BOKA TEMPRANILLO 750 ML.,5240801760047
5902,RADIO BOKA TEMPRANILLO BAG IN BOX DE 3 LITROS.,8436539761235
5903,RADIO BOKA VERDEJO 750 ML.,8436539760061
600,ACHAVAL FERRER FINCA ALTAMIRA 750 ML.,7798091111042
6000,ALVARO PALACIOS LES TERRASSES 750 ML.,8429073021200
6001,ALVARO PALACIOS FINCA DOFI 750 ML.,8429073021668
6002,ALVARO PALACIOS CAMINS DEL PRIORAT 750 ML.,8429073022016
6003,ALVARO PALACIOS FINCA GRATALLOPS 750 ML.,8429073020326
6004,ALVARO PALACIOS FINCA LA MONTESA 750 ML.,8411580035887
601,ACHAVAL FERRER QUIMERA 750 ML.,7798091111035
602,ACHAVAL FERRER MALBEC 750 ML.,7798091111110
603,ACHAVAL FERRER FINCA MIRADOR 750 ML.,7798091111059
604,ACHAVAL FERRER FINCA BELLAVISTA 750 ML.,7798091111028
6100,TUNANTE DE AZABACHE 750 ML.,8423513005041
6101,AZABACHE MADURADO EN BODEGA 750 ML.,8423513000633
6200,PACO GARCIA CRIANZA 750ML,8437005176027
6201,PACO GARCIA GARNACHA 750ML,8437005176140
6300,ALVI ´S DRIFT 221 PINOTAGE 750 ML.,6009879631449
6301,ALVI´S DRIFT 221 CHENIN BLANC 750 ML.,6009879631272
6302,ALVI´S DRIFT VERREAUX PINOTAGE 750 ML.,6009879631265
6400,RESERVA DEL CAMINO MALBEC 750ML.,7790036668017
6500,PEÑASCAL ROSADO 750ML,8410849000178
6501,PEÑASCAL BLANCO 750ML,8410849000185
6502,PEÑASCAL TINTO 750ML,8410849600002
6600,LOBO NEGRO VIURA SAUVIGNON BLANC 750ML,8427894027883
6601,LOBO NEGRO TEMPRANILLO CABERNET SAUVIGNON 750ML,8427894027876
6700,WINES N´ ROSES HIGHWAY TO HELL 750 ML.,8413513002362
6701,WINES N´ ROSES SYMPATHY FOR THE DEVIL BLANCO 750 ML.,8413513002355
6702,WINES N´ ROSES BORN TO BE WILD 750 ML.,8413513002379
6703,WINES N´ ROSES THE FINAL COUNTDOWN 750 ML.,8413513002393
6704,WINES N´ ROSES LIGHT MY FIRE 750 ML.,8413513002386
6800,AVANT GARDE PINOT NOIR 750ML - DOMAINE CARNEROS,084692484447
6801,ESTATE GROWN PINOT NOIR 750ML- DOMAINE CARNEROS,084692430949
6802,THE FAMOUS GATE PINOT NOIR 750ML- DOMAINE CARNEROS,084692449606
6900,SAURUS PATAGONIA MALBEC 750 ML.,7798116190311
6901,SAURUS PATAGONIA PINOT NOIR 750 ML.,7798116190335
6902,SAURUS SELECT PATAGONIA MALBEC 750 ML.,7798116190014
6903,SAURUS ROSE PINOT NOIR 750 ML.,7798116191615
6904,SAURUS PATAGONIA SAUVIGNON BLANC 750 ML.,7798116190847
